report_date,table_index,source_url,vessels_arrived,vessels_departed,vessels_at_berth,vessels_at_outer_anchorage,import_full_teus,import_empty_teus,export_full_teus,export_empty_teus,total_import_teus,total_export_teus,total_teus,yard_stock_teus,yard_capacity_teus,yard_occupancy_pct,berth_occupancy_pct,avg_dwell_days,avg_turnaround_hours,gross_moves_per_hour
2023-02-20,1,SYNTHETIC,10,11,15,15,3966.8,230.7,2192.2,1519.9,4197.4,3712.2,7909.6,35135.0,53000,66.3,88.4,4.16,66.8,28.8
2023-02-21,1,SYNTHETIC,9,11,10,34,4140.0,176.9,2848.7,1292.2,4316.9,4140.9,8457.8,38551.0,53000,72.7,84.3,7.27,69.1,23.2
2023-02-22,1,SYNTHETIC,10,9,15,43,4864.1,252.5,3383.2,1561.4,5116.5,4944.6,10061.2,36884.0,53000,69.6,85.2,4.4,78.8,25.6
2023-02-23,1,SYNTHETIC,9,6,13,29,4418.0,276.3,2501.6,1968.4,4694.3,4469.9,9164.2,38307.0,53000,72.3,91.0,4.95,59.4,29.1
2023-02-24,1,SYNTHETIC,11,15,16,21,3961.9,285.8,2316.7,1235.7,4247.6,3552.5,7800.1,36569.0,53000,69.0,91.5,4.46,80.4,26.7
2023-02-25,1,SYNTHETIC,16,6,13,36,4672.3,123.3,2890.3,1720.2,4795.6,4610.5,9406.1,34679.0,53000,65.4,84.5,4.55,68.8,29.7
2023-02-26,1,SYNTHETIC,7,7,13,43,4539.3,279.1,2688.1,1508.5,4818.4,4196.6,9015.0,35247.0,53000,66.5,87.3,5.28,69.4,31.6
2023-02-27,1,SYNTHETIC,9,12,13,30,3941.7,253.1,2104.5,1574.3,4194.8,3678.7,7873.5,34065.0,53000,64.3,87.3,4.24,66.6,26.3
2023-02-28,1,SYNTHETIC,14,17,15,2,4961.2,232.3,2522.4,1803.4,5193.5,4325.8,9519.3,33574.0,53000,63.3,80.9,4.46,90.7,29.9
2023-03-01,1,SYNTHETIC,11,16,13,50,4789.7,247.5,3270.2,1662.1,5037.2,4932.3,9969.6,37917.0,53000,71.5,85.3,5.64,69.4,28.4
2023-03-02,1,SYNTHETIC,11,5,15,28,4501.2,253.1,3035.8,1318.0,4754.3,4353.8,9108.1,39211.0,53000,74.0,83.4,4.85,69.4,24.4
2023-03-03,1,SYNTHETIC,13,9,16,13,3876.9,265.8,2435.8,1324.9,4142.7,3760.7,7903.5,35586.0,53000,67.1,80.1,5.17,68.2,25.4
2023-03-04,1,SYNTHETIC,15,8,17,23,4107.9,220.8,2566.5,1708.4,4328.6,4274.9,8603.5,38341.0,53000,72.3,85.6,6.02,74.3,29.7
2023-03-05,1,SYNTHETIC,10,10,15,31,4871.2,172.1,2984.6,1305.5,5043.3,4290.0,9333.4,33067.0,53000,62.4,82.2,4.16,80.1,32.9
2023-03-06,1,SYNTHETIC,17,16,12,39,4714.1,299.1,2968.9,1765.8,5013.2,4734.7,9747.9,35709.0,53000,67.4,84.7,4.46,76.0,30.5
2023-03-07,1,SYNTHETIC,13,13,14,41,4021.0,287.2,2770.2,1272.2,4308.2,4042.4,8350.6,38741.0,53000,73.1,80.2,5.8,76.6,27.0
2023-03-08,1,SYNTHETIC,9,12,15,21,4278.6,253.9,2198.0,1369.5,4532.6,3567.5,8100.1,36182.0,53000,68.3,87.9,5.67,78.9,28.8
2023-03-09,1,SYNTHETIC,7,17,11,30,4798.5,211.9,2891.9,1369.6,5010.4,4261.5,9272.0,38032.0,53000,71.8,86.6,3.57,76.7,27.9
2023-03-10,1,SYNTHETIC,13,16,13,35,3511.7,259.4,2056.6,1521.0,3771.1,3577.6,7348.7,36954.0,53000,69.7,83.9,3.43,62.3,27.4
2023-03-11,1,SYNTHETIC,12,11,13,36,4678.9,253.2,2731.3,1530.1,4932.1,4261.4,9193.5,38586.0,53000,72.8,82.1,4.43,66.1,25.2
2023-03-12,1,SYNTHETIC,12,8,12,22,4943.2,137.0,2512.5,1962.8,5080.3,4475.3,9555.6,34129.0,53000,64.4,84.8,4.8,83.7,27.5
2023-03-13,1,SYNTHETIC,16,13,11,35,4496.5,175.0,2682.9,1391.4,4671.5,4074.4,8745.9,32616.0,53000,61.5,77.7,5.27,89.1,32.6
2023-03-14,1,SYNTHETIC,14,6,15,40,4707.0,194.1,2483.9,1832.0,4901.1,4315.9,9217.0,35921.0,53000,67.8,76.5,4.37,71.5,27.1
2023-03-15,1,SYNTHETIC,12,21,12,20,4390.3,289.2,2709.1,1647.1,4679.4,4356.1,9035.6,35493.0,53000,67.0,76.9,5.46,80.6,24.0
2023-03-16,1,SYNTHETIC,8,19,12,7,4482.9,296.0,2981.1,1359.7,4778.9,4340.8,9119.6,35287.0,53000,66.6,76.3,6.65,68.6,31.3
2023-03-17,1,SYNTHETIC,10,10,15,18,3808.1,177.5,2652.4,1257.7,3985.6,3910.1,7895.7,41142.0,53000,77.6,71.4,4.17,64.2,27.8
2023-03-18,1,SYNTHETIC,13,12,14,32,4696.6,239.9,2526.5,1462.4,4936.4,3988.8,8925.2,32631.0,53000,61.6,83.5,3.42,68.3,27.5
2023-03-19,1,SYNTHETIC,10,15,7,31,4472.2,317.7,2856.6,1351.9,4789.9,4208.5,8998.4,39758.0,53000,75.0,82.1,3.9,79.6,29.4
2023-03-20,1,SYNTHETIC,10,7,14,36,4371.9,152.2,2671.3,1843.1,4524.1,4514.4,9038.5,38495.0,53000,72.6,81.1,6.33,76.5,27.4
2023-03-21,1,SYNTHETIC,9,17,16,43,4661.1,188.8,2752.0,1998.6,4849.9,4750.5,9600.4,33836.0,53000,63.8,88.9,4.33,83.4,23.9
2023-03-22,1,SYNTHETIC,7,12,14,22,4855.6,175.3,3279.8,1572.3,5030.9,4852.2,9883.1,39284.0,53000,74.1,82.6,4.8,90.2,22.1
2023-03-23,1,SYNTHETIC,11,8,11,38,4939.3,340.0,2818.7,1508.7,5279.3,4327.4,9606.7,35610.0,53000,67.2,86.4,3.0,91.5,22.4
2023-03-24,1,SYNTHETIC,10,11,18,38,4707.7,213.2,2458.1,1431.5,4920.9,3889.5,8810.4,38049.0,53000,71.8,87.7,5.26,79.5,28.8
2023-03-25,1,SYNTHETIC,11,11,13,23,4419.8,307.2,3209.8,1377.7,4727.1,4587.5,9314.6,32934.0,53000,62.1,80.5,4.36,73.7,27.6
2023-03-26,1,SYNTHETIC,11,14,12,45,4858.9,191.8,2366.7,1768.2,5050.7,4134.9,9185.6,35124.0,53000,66.3,82.8,8.33,73.4,26.9
2023-03-27,1,SYNTHETIC,9,9,14,31,4285.2,247.2,2822.3,1264.4,4532.4,4086.7,8619.1,38236.0,53000,72.1,85.3,6.98,76.6,23.6
2023-03-28,1,SYNTHETIC,6,10,15,24,4732.3,288.8,3133.8,1808.0,5021.2,4941.9,9963.0,39219.0,53000,74.0,81.1,3.68,51.8,25.5
2023-03-29,1,SYNTHETIC,13,18,13,22,4129.2,216.1,2569.9,1188.7,4345.3,3758.6,8103.9,35459.0,53000,66.9,79.8,5.15,80.2,22.9
2023-03-30,1,SYNTHETIC,16,16,14,35,4414.1,261.3,2487.9,1704.8,4675.5,4192.7,8868.2,38665.0,53000,73.0,87.1,5.97,81.2,28.1
2023-03-31,1,SYNTHETIC,9,8,13,15,3905.9,86.1,2147.1,1494.5,3991.9,3641.6,7633.5,40699.0,53000,76.8,78.2,6.83,72.6,32.4
2023-04-01,1,SYNTHETIC,17,19,10,38,4979.8,247.9,2627.4,1948.6,5227.7,4576.0,9803.7,34128.0,53000,64.4,89.9,4.84,81.4,25.4
2023-04-02,1,SYNTHETIC,13,9,14,28,3992.4,153.0,2487.6,1615.3,4145.4,4102.8,8248.2,38989.0,53000,73.6,76.2,3.08,85.3,26.3
2023-04-03,1,SYNTHETIC,11,9,16,36,4350.9,284.4,2361.0,1293.5,4635.3,3654.5,8289.9,34710.0,53000,65.5,75.7,5.01,78.5,30.9
2023-04-04,1,SYNTHETIC,8,7,14,29,4972.0,304.2,3002.2,1904.0,5276.2,4906.3,10182.5,36326.0,53000,68.5,81.9,5.22,72.8,22.4
2023-04-05,1,SYNTHETIC,6,6,15,21,4337.6,270.2,2317.3,1577.5,4607.8,3894.8,8502.6,39976.0,53000,75.4,84.1,5.3,71.5,24.2
2023-04-06,1,SYNTHETIC,11,12,9,25,4391.1,281.7,2400.1,1808.9,4672.8,4209.0,8881.8,34169.0,53000,64.5,80.2,5.2,56.5,23.9
2023-04-07,1,SYNTHETIC,10,13,11,31,4033.7,103.0,2220.5,1265.3,4136.7,3485.8,7622.5,38726.0,53000,73.1,90.5,7.31,58.0,28.9
2023-04-08,1,SYNTHETIC,13,14,16,11,4453.8,202.1,2286.5,1861.5,4656.0,4148.0,8804.0,37764.0,53000,71.3,84.5,3.91,77.0,26.6
2023-04-09,1,SYNTHETIC,15,9,13,43,5347.7,303.0,3016.5,2143.1,5650.6,5159.6,10810.2,43401.0,53000,81.9,95.7,5.35,77.9,32.2
2023-04-10,1,SYNTHETIC,8,18,14,31,4893.1,125.7,2493.4,1692.4,5018.8,4185.8,9204.5,39655.0,53000,74.8,85.8,4.49,86.6,29.7
2023-04-11,1,SYNTHETIC,17,6,12,34,5029.9,204.2,2550.2,1972.6,5234.1,4522.8,9756.9,41950.0,53000,79.2,80.4,5.11,65.3,28.6
2023-04-12,1,SYNTHETIC,11,18,14,44,4870.6,138.6,2823.3,1239.2,5009.2,4062.4,9071.6,38690.0,53000,73.0,74.5,4.91,56.7,26.0
2023-04-13,1,SYNTHETIC,11,13,14,46,4514.1,148.1,2862.3,1540.7,4662.2,4402.9,9065.2,31796.0,53000,60.0,83.5,4.2,77.2,28.4
2023-04-14,1,SYNTHETIC,8,8,14,43,3959.7,281.3,2345.2,1267.0,4241.1,3612.2,7853.3,39193.0,53000,73.9,75.7,4.34,76.9,25.1
2023-04-15,1,SYNTHETIC,9,7,14,26,4624.2,250.0,2599.9,1718.2,4874.2,4318.1,9192.3,34898.0,53000,65.8,79.6,4.35,68.2,25.0
2023-04-16,1,SYNTHETIC,18,12,14,26,4808.6,349.0,2941.7,1647.2,5157.6,4588.9,9746.5,38108.0,53000,71.9,78.6,5.62,64.5,23.6
2023-04-17,1,SYNTHETIC,15,7,12,29,4469.7,97.1,2908.9,1359.8,4566.7,4268.7,8835.4,34022.0,53000,64.2,87.1,4.02,74.7,25.4
2023-04-18,1,SYNTHETIC,21,9,14,17,4510.2,317.1,2788.6,1476.7,4827.3,4265.3,9092.6,34299.0,53000,64.7,71.5,6.83,71.4,26.9
2023-04-19,1,SYNTHETIC,7,13,13,8,5236.8,197.1,2876.1,1667.4,5433.9,4543.5,9977.4,38274.0,53000,72.2,89.9,4.03,85.7,21.9
2023-04-20,1,SYNTHETIC,5,13,13,19,4829.4,227.3,2497.5,1484.4,5056.6,3982.0,9038.6,36107.0,53000,68.1,82.4,5.81,72.2,29.7
2023-04-21,1,SYNTHETIC,14,12,14,33,3434.5,149.8,1923.6,1406.0,3584.3,3329.7,6914.0,32716.0,53000,61.7,86.3,5.34,66.5,26.6
2023-04-22,1,SYNTHETIC,10,10,16,21,4629.7,138.5,2501.7,1763.7,4768.2,4265.5,9033.7,38633.0,53000,72.9,95.4,3.17,79.5,27.1
2023-04-23,1,SYNTHETIC,9,9,14,38,4502.1,93.8,2781.0,1657.7,4595.9,4438.7,9034.6,37451.0,53000,70.7,87.2,3.91,88.9,27.2
2023-04-24,1,SYNTHETIC,14,14,12,32,4347.0,260.0,2658.5,1350.9,4607.0,4009.4,8616.4,34699.0,53000,65.5,75.8,3.74,62.8,28.3
2023-04-25,1,SYNTHETIC,11,11,16,43,4087.1,261.7,2320.7,1340.0,4348.8,3660.7,8009.4,30758.0,53000,58.0,78.5,3.53,77.2,32.4
2023-04-26,1,SYNTHETIC,15,12,15,50,4897.8,189.8,2375.3,1936.3,5087.6,4311.5,9399.2,33377.0,53000,63.0,82.0,5.23,87.4,25.0
2023-04-27,1,SYNTHETIC,13,8,15,37,4092.4,296.1,2612.5,1735.1,4388.5,4347.6,8736.1,36414.0,53000,68.7,82.0,4.58,76.5,25.3
2023-04-28,1,SYNTHETIC,7,5,16,33,3934.0,182.4,2162.0,1476.5,4116.4,3638.5,7754.9,34329.0,53000,64.8,82.4,2.92,61.3,20.6
2023-04-29,1,SYNTHETIC,20,13,11,34,5011.9,285.5,2928.8,2045.8,5297.5,4974.6,10272.0,33864.0,53000,63.9,84.8,4.82,76.1,27.1
2023-04-30,1,SYNTHETIC,14,13,14,37,5207.9,155.9,3138.2,1807.2,5363.8,4945.4,10309.3,31283.0,53000,59.0,69.3,4.17,66.8,27.4
2023-05-01,1,SYNTHETIC,12,21,15,21,4400.9,220.6,2385.9,1862.3,4621.5,4248.3,8869.7,36561.0,53000,69.0,81.7,4.66,64.7,26.7
2023-05-02,1,SYNTHETIC,12,5,14,31,5166.6,168.7,2861.2,2235.3,5335.3,5096.5,10431.8,33166.0,53000,62.6,89.6,3.16,72.7,28.1
2023-05-03,1,SYNTHETIC,14,12,13,34,4613.1,247.2,2226.9,1617.4,4860.3,3844.3,8704.6,38780.0,53000,73.2,82.2,3.34,70.4,20.5
2023-05-04,1,SYNTHETIC,9,15,12,37,4724.3,291.3,2842.9,1643.0,5015.6,4485.9,9501.5,33810.0,53000,63.8,86.4,4.87,65.5,22.8
2023-05-05,1,SYNTHETIC,8,9,19,19,3982.5,153.0,2124.5,1134.1,4135.5,3258.6,7394.1,37588.0,53000,70.9,83.8,5.34,81.1,25.9
2023-05-06,1,SYNTHETIC,11,10,15,31,4324.1,227.4,2189.0,1628.0,4551.5,3816.9,8368.5,41240.0,53000,77.8,78.5,6.89,64.2,28.4
2023-05-07,1,SYNTHETIC,9,10,17,45,3835.8,249.6,2592.5,1214.1,4085.3,3806.6,7891.9,33115.0,53000,62.5,85.1,5.58,70.7,25.5
2023-05-08,1,SYNTHETIC,8,11,13,25,3998.7,160.7,2821.2,1278.0,4159.4,4099.2,8258.7,36006.0,53000,67.9,86.4,5.66,85.0,24.4
2023-05-09,1,SYNTHETIC,7,8,12,25,3957.7,240.6,2663.0,1241.3,4198.3,3904.3,8102.5,32587.0,53000,61.5,74.6,2.84,79.0,30.0
2023-05-10,1,SYNTHETIC,9,11,13,22,4573.5,277.6,2607.2,1614.2,4851.1,4221.4,9072.5,37801.0,53000,71.3,79.6,2.76,69.6,28.5
2023-05-11,1,SYNTHETIC,5,13,15,36,4816.0,233.0,3166.3,1500.7,5049.0,4667.0,9716.0,38155.0,53000,72.0,88.2,3.46,87.6,23.1
2023-05-12,1,SYNTHETIC,7,10,10,13,3925.9,101.5,2307.2,1613.7,4027.4,3920.9,7948.3,34156.0,53000,64.4,78.6,4.51,67.2,27.3
2023-05-13,1,SYNTHETIC,13,11,12,22,5550.0,196.6,2600.1,2028.0,5746.6,4628.1,10374.8,36661.0,53000,69.2,89.4,3.34,67.0,29.3
2023-05-14,1,SYNTHETIC,9,9,13,53,4626.8,130.1,2520.1,1963.1,4756.9,4483.2,9240.1,37491.0,53000,70.7,78.8,4.05,62.3,28.8
2023-05-15,1,SYNTHETIC,16,8,13,45,4496.3,156.4,2610.9,1267.0,4652.8,3877.9,8530.7,35249.0,53000,66.5,81.2,3.65,73.1,29.6
2023-05-16,1,SYNTHETIC,11,8,16,31,4476.6,118.1,2664.8,1693.4,4594.6,4358.2,8952.8,36216.0,53000,68.3,83.8,5.56,87.8,23.0
2023-05-17,1,SYNTHETIC,17,9,13,18,4806.6,194.0,2592.8,1835.5,5000.6,4428.4,9429.0,39042.0,53000,73.7,88.0,3.85,71.4,21.5
2023-05-18,1,SYNTHETIC,16,9,15,26,4612.4,103.1,2708.1,1975.0,4715.5,4683.0,9398.5,34009.0,53000,64.2,84.4,3.0,62.4,27.5
2023-05-19,1,SYNTHETIC,10,7,13,44,3903.8,146.0,2440.3,1123.5,4049.9,3563.8,7613.7,40398.0,53000,76.2,81.4,3.67,59.3,28.6
2023-05-20,1,SYNTHETIC,7,13,10,27,4647.9,230.4,2390.2,1649.8,4878.3,4040.0,8918.3,36381.0,53000,68.6,75.4,5.01,54.8,28.1
2023-05-21,1,SYNTHETIC,8,4,13,5,4334.4,224.6,2424.3,1551.7,4559.0,3976.0,8535.0,33341.0,53000,62.9,86.7,5.64,65.2,30.1
2023-05-22,1,SYNTHETIC,13,5,14,50,4037.3,130.0,2347.0,1604.9,4167.3,3951.9,8119.2,39851.0,53000,75.2,74.5,5.02,81.5,23.6
2023-05-23,1,SYNTHETIC,7,13,13,35,4265.1,171.1,2725.6,1672.1,4436.2,4397.7,8833.8,36517.0,53000,68.9,75.8,5.54,77.5,25.0
2023-05-24,1,SYNTHETIC,10,11,15,52,5076.6,222.6,2651.4,1936.9,5299.2,4588.3,9887.5,37254.0,53000,70.3,84.7,5.05,60.7,28.1
2023-05-25,1,SYNTHETIC,12,13,12,28,4250.7,224.5,2870.0,1388.0,4475.2,4258.0,8733.2,36790.0,53000,69.4,86.3,6.29,78.4,29.6
2023-05-26,1,SYNTHETIC,12,6,15,22,3992.7,124.6,2679.7,1378.7,4117.3,4058.4,8175.6,38574.0,53000,72.8,89.3,2.6,66.4,27.1
2023-05-27,1,SYNTHETIC,10,7,15,17,4829.2,174.3,2619.2,1556.3,5003.5,4175.5,9179.1,36508.0,53000,68.9,86.3,3.35,51.8,27.9
2023-05-28,1,SYNTHETIC,13,14,10,26,4479.4,120.5,2761.0,1601.0,4599.9,4362.0,8962.0,39759.0,53000,75.0,85.3,8.32,71.1,23.9
2023-05-29,1,SYNTHETIC,9,9,14,26,4344.0,210.3,2631.0,1514.0,4554.4,4145.0,8699.4,40259.0,53000,76.0,85.5,5.95,74.8,30.8
2023-05-30,1,SYNTHETIC,14,9,15,26,4719.5,208.3,2387.3,1575.9,4927.8,3963.1,8890.9,37769.0,53000,71.3,80.5,5.49,69.1,26.1
2023-05-31,1,SYNTHETIC,9,8,15,15,5058.4,326.7,2488.2,1766.1,5385.1,4254.3,9639.4,36022.0,53000,68.0,80.8,3.4,67.0,24.9
2023-06-01,1,SYNTHETIC,8,11,15,28,4604.1,213.0,2284.9,1790.9,4817.1,4075.9,8892.9,32885.0,53000,62.0,90.7,2.58,61.1,26.7
2023-06-02,1,SYNTHETIC,12,5,13,39,3527.0,86.5,2062.5,911.1,3613.5,2973.6,6587.2,32119.0,53000,60.6,88.5,5.7,99.2,25.6
2023-06-03,1,SYNTHETIC,11,3,13,44,4592.9,222.5,2789.5,1862.3,4815.3,4651.8,9467.1,38963.0,53000,73.5,70.3,5.06,71.5,27.2
2023-06-04,1,SYNTHETIC,12,16,15,33,4699.8,195.4,2416.1,1785.8,4895.2,4201.9,9097.0,36322.0,53000,68.5,89.2,7.11,91.7,25.7
